Name,Type1,Type2,Evolution
bug_0001,Bug,,
bug_0002,Bug,,
bug_0003,Bug,,
bug_0004,Bug,,
bug_dark_0001,Bug,Dark,
bug_dark_0002,Bug,Dark,
bug_dark_0003,Bug,Dark,
bug_dark_0004,Bug,Dark,
bug_dragon_0001,Bug,Dragon,
bug_dragon_0002,Bug,Dragon,
bug_dragon_0003,Bug,Dragon,
bug_dragon_0004,Bug,Dragon,
bug_electric_0001,Bug,Electric,
bug_electric_0002,Bug,Electric,
bug_electric_0003,Bug,Electric,
bug_electric_0004,Bug,Electric,
bug_fairy_0001,Bug,Fairy,
bug_fairy_0002,Bug,Fairy,
bug_fairy_0003,Bug,Fairy,
bug_fairy_0004,Bug,Fairy,
bug_fighting_0001,Bug,Fighting,
bug_fighting_0002,Bug,Fighting,
bug_fighting_0003,Bug,Fighting,
bug_fighting_0004,Bug,Fighting,
bug_fire_0001,Bug,Fire,
bug_fire_0002,Bug,Fire,
bug_fire_0003,Bug,Fire,
bug_fire_0004,Bug,Fire,
bug_flying_0001,Bug,Flying,
bug_flying_0002,Bug,Flying,
bug_flying_0003,Bug,Flying,
bug_flying_0004,Bug,Flying,
bug_ghost_0001,Bug,Ghost,
bug_ghost_0002,Bug,Ghost,
bug_ghost_0003,Bug,Ghost,
bug_ghost_0004,Bug,Ghost,
bug_grass_0001,Bug,Grass,
bug_grass_0002,Bug,Grass,
bug_grass_0003,Bug,Grass,
bug_grass_0004,Bug,Grass,
bug_ground_0001,Bug,Ground,
bug_ground_0002,Bug,Ground,
bug_ground_0003,Bug,Ground,
bug_ground_0004,Bug,Ground,
bug_ice_0001,Bug,Ice,
bug_ice_0002,Bug,Ice,
bug_ice_0003,Bug,Ice,
bug_ice_0004,Bug,Ice,
bug_normal_0001,Bug,Normal,
bug_normal_0002,Bug,Normal,
bug_normal_0003,Bug,Normal,
bug_normal_0004,Bug,Normal,
bug_poison_0001,Bug,Poison,
bug_poison_0002,Bug,Poison,
bug_poison_0003,Bug,Poison,
bug_poison_0004,Bug,Poison,
bug_psychic_0001,Bug,Psychic,
bug_psychic_0002,Bug,Psychic,
bug_psychic_0003,Bug,Psychic,
bug_psychic_0004,Bug,Psychic,
bug_rock_0001,Bug,Rock,
bug_rock_0002,Bug,Rock,
bug_rock_0003,Bug,Rock,
bug_rock_0004,Bug,Rock,
bug_steel_0001,Bug,Steel,
bug_steel_0002,Bug,Steel,
bug_steel_0003,Bug,Steel,
bug_steel_0004,Bug,Steel,
bug_water_0001,Bug,Water,
bug_water_0002,Bug,Water,
bug_water_0003,Bug,Water,
bug_water_0004,Bug,Water,
dark_0001,Dark,,
dark_0002,Dark,,
dark_0003,Dark,,
dark_0004,Dark,,
dark_bug_0001,Dark,Bug,
dark_bug_0002,Dark,Bug,
